0.19188E+00 0.26928E-04 0.00000E+01 41591300 0 0 2157552 0.11243E+08 0.00000E+01 0.19188E+00 0.00000E+01 0.00000E+01 0
1 0.19176 0.00078804 0.82191 1.4827 0.19176
2 0.19227 0.00050791 0.74718 1.0109 0.19227
3 0.19178 0.00034065 0.7105 1.4819 0.19178
4 0.19062 0.00081242 0.85242 1.6323 0.19062
5 0.19145 0.0005144 0.75996 1.1253 0.19145
6 0.19169 0.00034633 0.72269 1.6175 0.19169
7 0.1934 0.00082767 0.8559 1.5927 0.1934
8 0.1921 0.00052062 0.76654 1.1488 0.1921
9 0.19192 0.00034526 0.71959 1.5328 0.19192
10 0.19214 0.00081929 0.85281 1.8581 0.19214
11 0.19207 0.00051383 0.75666 1.2986 0.19207
12 0.19175 0.00034283 0.71517 1.2356 0.19175
13 0.19114 0.00079845 0.83548 1.7284 0.19114
14 0.19209 0.00051294 0.75526 1.1353 0.19209
15 0.19182 0.00034578 0.72104 1.2476 0.19182
16 0.19142 0.00079436 0.82995 1.5037 0.19142
17 0.19223 0.00051235 0.75387 1.55 0.19223
18 0.19167 0.0003418 0.71333 1.5272 0.19167
19 0.1916 0.00083012 0.86651 1.6393 0.1916
20 0.19103 0.00052176 0.77253 1.3814 0.19103
21 0.19204 0.00034883 0.72659 2.3595 0.19204
22 0.19104 0.00078361 0.82037 1.3639 0.19104
23 0.19159 0.0005071 0.74862 1.0631 0.19159
24 0.19179 0.00034044 0.71003 1.7884 0.19179
25 0.19141 0.0007789 0.81385 1.482 0.19141
26 0.19181 0.00050369 0.74275 0.99842 0.19181
27 0.19166 0.00034114 0.71197 1.9082 0.19166
28 0.1913 0.00078629 0.82207 1.2773 0.1913
29 0.19237 0.00050518 0.74277 1.3619 0.19237
30 0.1923 0.00034006 0.70736 1.3792 0.1923
31 0.19155 0.00080425 0.83974 1.4825 0.19155
32 0.19149 0.00051353 0.7585 1.242 0.19149
33 0.19174 0.00034252 0.71454 1.7535 0.19174
