0.18601E-02 0.38811E-05 0.00000E+01 353928 0 0 19633 0.10545E+08 0.00000E+01 0.18601E-02 0.00000E+01 0.00000E+01 0
1 0.0018273 3.1876e-05 1.1748 0.020202 0.0018273
2 0.0018853 1.7698e-05 0.89416 0.016021 0.0018853
3 0.0018406 1.0737e-05 0.78578 0.012706 0.0018406
4 0.0018531 3.3128e-05 1.204 0.018673 0.0018531
5 0.0018549 1.7779e-05 0.91295 0.013421 0.0018549
6 0.0018738 1.0802e-05 0.7765 0.011172 0.0018738
7 0.0019175 7.3096e-05 1.8155 0.046489 0.0019175
8 0.0018071 3.1429e-05 1.1713 0.019533 0.0018071
9 0.0018605 1.7945e-05 0.9187 0.016385 0.0018605
10 0.0018505 3.3297e-05 1.2119 0.039712 0.0018505
11 0.0018637 1.7821e-05 0.91076 0.011868 0.0018637
12 0.0018557 1.0727e-05 0.77863 0.010564 0.0018557
13 0.0019594 7.9441e-05 1.9308 0.04977 0.0019594
14 0.001805 3.1598e-05 1.179 0.017354 0.001805
15 0.0018344 1.7763e-05 0.92231 0.014626 0.0018344
16 0.0019426 7.446e-05 1.8254 0.049255 0.0019426
17 0.0018215 3.0823e-05 1.1397 0.021299 0.0018215
18 0.0018881 1.8564e-05 0.9365 0.023646 0.0018881
19 0.0019094 3.3745e-05 1.1903 0.022265 0.0019094
20 0.00185 1.78e-05 0.9164 0.016502 0.00185
21 0.0018647 1.0816e-05 0.78128 0.01167 0.0018647
22 0.0019165 3.4853e-05 1.2248 0.032523 0.0019165
23 0.0018463 1.7334e-05 0.89423 0.013502 0.0018463
24 0.0018663 1.0695e-05 0.77192 0.011489 0.0018663
25 0.0018846 3.4494e-05 1.2327 0.031211 0.0018846
26 0.001895 1.8051e-05 0.90731 0.013195 0.001895
27 0.0018719 1.0825e-05 0.77897 0.0099546 0.0018719
28 0.0018685 3.433e-05 1.2374 0.036463 0.0018685
29 0.0018663 1.7505e-05 0.89337 0.013592 0.0018663
30 0.0018689 1.0875e-05 0.78381 0.011907 0.0018689
31 0.0018606 3.2172e-05 1.1646 0.015199 0.0018606
32 0.0018408 1.7779e-05 0.91991 0.016296 0.0018408
33 0.0018555 1.0819e-05 0.78538 0.014276 0.0018555
34 0.0018382 3.2134e-05 1.1774 0.016264 0.0018382
35 0.0018465 1.7682e-05 0.91209 0.015225 0.0018465
36 0.0018645 1.0847e-05 0.78361 0.0097505 0.0018645
<lo_statistics>
<cumulated_time> 12.576514 </cumulated_time>
</lo_statistics>
